
HALL OF FAME:Individual('i', [0, 0, 0, 0, 0])(1.0, 0.0)
Individual('i', [0, 0, 1, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [1, 0, 0, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 1, 0, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 1, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 0, 1])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 1, 1])(0.03409090909090917, 2.0)
Individual('i', [0, 1, 0, 1, 0])(0.03409090909090917, 2.0)
Individual('i', [0, 0, 1, 1, 0])(0.03409090909090917, 2.0)
Individual('i', [1, 1, 0, 0, 0])(0.03409090909090917, 2.0)

HALL OF FAME:Individual('i', [0, 0, 0, 0, 0])(1.0, 0.0)
Individual('i', [0, 0, 1, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [1, 0, 0, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 1, 0, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 1, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 0, 1])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 1, 1])(0.03409090909090917, 2.0)
Individual('i', [0, 1, 0, 1, 0])(0.03409090909090917, 2.0)
Individual('i', [0, 0, 1, 1, 0])(0.03409090909090917, 2.0)
Individual('i', [1, 1, 0, 0, 0])(0.03409090909090917, 2.0)

HALL OF FAME:Individual('i', [0, 0, 0, 0, 0])(1.0, 0.0)
Individual('i', [0, 0, 1, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [1, 0, 0, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 1, 0, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 1, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 0, 1])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 1, 1])(0.03409090909090917, 2.0)
Individual('i', [0, 1, 0, 1, 0])(0.03409090909090917, 2.0)
Individual('i', [0, 0, 1, 1, 0])(0.03409090909090917, 2.0)
Individual('i', [1, 1, 0, 0, 0])(0.03409090909090917, 2.0)

HALL OF FAME:Individual('i', [0, 0, 0, 0, 1])(0.03409090909090917, 1.0)
Individual('i', [1, 0, 0, 0, 1])(0.03409090909090917, 2.0)
Individual('i', [0, 1, 1, 0, 0])(0.03409090909090917, 2.0)
Individual('i', [0, 0, 0, 1, 1])(0.03409090909090917, 2.0)
Individual('i', [1, 0, 1, 0, 0])(0.03409090909090917, 2.0)
Individual('i', [0, 1, 0, 0, 1])(0.03409090909090917, 2.0)
Individual('i', [0, 0, 1, 0, 1])(0.03409090909090917, 2.0)
Individual('i', [0, 1, 1, 0, 1])(0.03409090909090917, 3.0)
Individual('i', [0, 1, 0, 1, 1])(0.03409090909090917, 3.0)
Individual('i', [1, 1, 0, 1, 0])(0.03409090909090917, 3.0)

HALL OF FAME:Individual('i', [0, 0, 1, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 1, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 1, 0, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [1, 0, 0, 0, 0])(0.03409090909090917, 1.0)
Individual('i', [0, 0, 0, 0, 1])(0.03409090909090917, 1.0)
Individual('i', [1, 0, 0, 0, 1])(0.03409090909090917, 2.0)
Individual('i', [0, 1, 1, 0, 0])(0.03409090909090917, 2.0)
Individual('i', [0, 0, 0, 1, 1])(0.03409090909090917, 2.0)
Individual('i', [1, 0, 1, 0, 0])(0.03409090909090917, 2.0)
Individual('i', [0, 1, 0, 0, 1])(0.03409090909090917, 2.0)
