classe,volume,quantidadeCobre,quantidadeFerro,quantidadeFAD,quantidadeNAD,quantidadeFolhas,quantidadeOutrasEstruturas,quantidadeHelices,areaSuperficieAcessivelTotal,'\% area residuo G','\% area residuo R',areaSuperficieDimensaoFractalTotal,'\% D','\% G','\% K','\% L','\% M','\% P','\% S','\% W','Desc. Local. \% H->N','Desc. Local. \% P->N','Desc. Local. \% N->P','Desc. Local. \% Neutro','Desc. Local. \% Polar',100.0_HIDROFOBICO,100.0_NEUTRO,25.0_HIDROFOBICO,25.0_NEUTRO,50.0_HIDROFOBICO,50.0_NEUTRO,50.0_POLAR,75.0_HIDROFOBICO,75.0_POLAR,Emboss1,Emboss3,Emboss4,Emboss10,Emboss19,Emboss25,Emboss31,Active_site_IPR008266,Domain_IPR011009,Domain_IPR014721,Domain_IPR014727,Domain_IPR014748,Domain_IPR014882,Domain_IPR029064
HIDROLASES,22541.4,0,0,0,0,0.084848,0.278788,0.636364,8559.409738,0.018603,0.11273,3409.345949,0.060606,0.066667,0.078788,0.09697,0.030303,0.018182,0.036364,0.018182,0.079268,0.152439,0.115854,0.339394,0.369697,0.195122,0.365854,0.341463,0.365854,0.243902,0.292683,0.463415,0.365854,0.292683,18672.44,1.198,0,1.347,1.192,31.515,10.909,0,0,0,0,0,0,0
HIDROLASES,22819.6,0,0,0,0,0.071856,0.293413,0.634731,9294.519668,0.021311,0.104323,3516.839848,0.065868,0.065868,0.077844,0.101796,0.02994,0.017964,0.041916,0.017964,0.078313,0.156627,0.114458,0.335329,0.371257,0.219512,0.365854,0.341463,0.365854,0.268293,0.292683,0.439024,0.341463,0.317073,18916.68,1.114,0,1.331,1.178,31.138,11.377,0,0,0,0,0,0,0
HIDROLASES,22630,0,0,0,0,0.054217,0.349398,0.596386,9179.680845,0.026958,0.135314,3509.26523,0.060241,0.066265,0.078313,0.096386,0.03012,0.018072,0.036145,0.018072,0.078788,0.151515,0.115152,0.343373,0.36747,0.195122,0.365854,0.341463,0.365854,0.243902,0.317073,0.439024,0.365854,0.292683,18743.52,1.261,0,1.339,1.185,31.928,10.843,0,0,0,0,0,0,0
HIDROLASES,22423.9,0,0,0,0,0.085366,0.280488,0.634146,8736.600403,0.018786,0.104641,3487.355275,0.060976,0.073171,0.079268,0.097561,0.030488,0.018293,0.030488,0.018293,0.079755,0.153374,0.116564,0.335366,0.371951,0.219512,0.365854,0.341463,0.365854,0.243902,0.292683,0.463415,0.365854,0.317073,18571.33,1.134,0,1.355,1.2,31.098,10.976,0,0,0,0,0,0,0
HIDROLASES,22530.5,0,0,0,0,0.085366,0.268293,0.646341,8620.117399,0.015376,0.092536,3417.373279,0.060976,0.067073,0.079268,0.097561,0.030488,0.018293,0.030488,0.018293,0.079755,0.147239,0.110429,0.329268,0.371951,0.219512,0.365854,0.341463,0.365854,0.268293,0.268293,0.463415,0.365854,0.317073,18627.44,1.134,0,1.491,1.2,31.707,10.976,0,0,0,0,0,0,0
HIDROLASES,22532.4,0,0,0,0,0.085366,0.280488,0.634146,8802.493639,0.019598,0.105794,3473.544978,0.060976,0.067073,0.085366,0.097561,0.030488,0.018293,0.030488,0.018293,0.079755,0.147239,0.110429,0.329268,0.378049,0.219512,0.365854,0.341463,0.365854,0.243902,0.268293,0.487805,0.365854,0.317073,18642.45,1.134,0,1.355,1.2,31.098,10.976,0,0,0,0,0,0,0
HIDROLASES,22530.5,0,0,0,0,0.085366,0.268293,0.646341,8547.014424,0.022227,0.107589,3458.154824,0.060976,0.067073,0.079268,0.103659,0.030488,0.018293,0.030488,0.018293,0.079755,0.147239,0.110429,0.329268,0.371951,0.219512,0.365854,0.341463,0.365854,0.268293,0.268293,0.463415,0.365854,0.317073,18627.44,1.134,0,1.355,1.2,31.707,10.976,0,0,0,0,0,0,0
HIDROLASES,22477.9,0,0,0,0,0.085366,0.268293,0.646341,8729.834302,0.016799,0.101831,3443.968807,0.060976,0.067073,0.079268,0.097561,0.030488,0.018293,0.030488,0.018293,0.079755,0.147239,0.110429,0.329268,0.378049,0.219512,0.365854,0.341463,0.365854,0.243902,0.268293,0.487805,0.365854,0.317073,18628.38,1.134,0,1.355,1.2,31.098,10.976,0,0,0,0,0,0,0
HIDROLASES,22476.5,0,0,0,0,0.085366,0.27439,0.640244,8649.59731,0.018477,0.106168,3432.818343,0.060976,0.067073,0.079268,0.097561,0.030488,0.02439,0.030488,0.018293,0.079755,0.153374,0.116564,0.335366,0.371951,0.219512,0.365854,0.341463,0.365854,0.243902,0.292683,0.463415,0.365854,0.317073,18611.4,1.134,0,1.355,1.2,31.098,10.976,0,0,0,0,0,0,0
HIDROLASES,22537.2,0,0,0,0,0.085366,0.27439,0.640244,8728.109374,0.021122,0.119195,3495.145398,0.060976,0.067073,0.079268,0.097561,0.030488,0.018293,0.030488,0.018293,0.079755,0.147239,0.110429,0.329268,0.378049,0.219512,0.365854,0.341463,0.365854,0.243902,0.268293,0.487805,0.365854,0.317073,18670.47,1.134,0,1.355,1.2,31.098,10.976,0,0,0,0,0,0,0
