classe,volume,quantidadeCobre,quantidadeFerro,quantidadeFAD,quantidadeNAD,quantidadeFolhas,quantidadeOutrasEstruturas,quantidadeHelices,'\% G','\% K','\% L','\% P','\% T','Desc. Local. \% Hidrofobico','Desc. Local. \% Neutro',csm1,Emboss1,Emboss2,Emboss23,Emboss24,Emboss25,Emboss26,Emboss27,Emboss29,Emboss30,Emboss31,Domain_IPR003595,Domain_IPR011009
HIDROLASES,22541.4,0,0,0,0,0.084848,0.278788,0.636364,0.066667,0.078788,0.09697,0.018182,0.072727,0.290909,0.339394,10812,18672.44,10.3151,27.879,48.485,31.515,9.091,51.515,27.273,16.364,10.909,0,0
HIDROLASES,22819.6,0,0,0,0,0.071856,0.293413,0.634731,0.065868,0.077844,0.101796,0.017964,0.071856,0.293413,0.335329,10394,18916.68,10.2006,27.545,48.503,31.138,8.982,50.898,27.545,16.168,11.377,0,0
HIDROLASES,22630,0,0,0,0,0.054217,0.349398,0.596386,0.066265,0.078313,0.096386,0.018072,0.072289,0.289157,0.343373,10965,18743.52,10.3151,28.313,48.795,31.928,9.036,51.807,27.108,16.265,10.843,0,0
HIDROLASES,22423.9,0,0,0,0,0.085366,0.280488,0.634146,0.073171,0.079268,0.097561,0.018293,0.073171,0.292683,0.335366,10710,18571.33,10.3151,27.439,48.171,31.098,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22530.5,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.29878,0.329268,10709,18627.44,10.3151,26.829,47.561,31.707,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22532.4,0,0,0,0,0.085366,0.280488,0.634146,0.067073,0.085366,0.097561,0.018293,0.073171,0.292683,0.329268,10705,18642.45,10.3928,26.829,47.561,31.098,9.146,51.22,28.049,17.073,10.976,0,0
HIDROLASES,22530.5,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.103659,0.018293,0.073171,0.29878,0.329268,10720,18627.44,10.3151,26.829,47.561,31.707,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22477.9,0,0,0,0,0.085366,0.268293,0.646341,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.329268,10722,18628.38,10.3151,26.829,48.171,31.098,9.146,51.22,27.439,16.463,10.976,0,0
HIDROLASES,22476.5,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.079268,0.097561,0.02439,0.073171,0.292683,0.335366,10686,18611.4,10.3151,26.829,48.171,31.098,9.146,51.829,27.439,16.463,10.976,0,0
HIDROLASES,22537.2,0,0,0,0,0.085366,0.27439,0.640244,0.067073,0.079268,0.097561,0.018293,0.073171,0.292683,0.329268,10675,18670.47,10.4217,26.829,47.561,31.098,9.146,51.22,28.049,17.073,10.976,0,0
